"cid","site","nARTR","nNonARTR","nARTRgt25","nNonARTRgt25","nShrubs","val","ucid"
269,"LowerDryCreek",6,1,1,1,7,1,"LowerDryCreek_269"
270,"LowerDryCreek",3,0,0,0,3,0,"LowerDryCreek_270"
271,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_271"
272,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_272"
273,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_273"
274,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_274"
275,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_275"
276,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_276"
277,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_277"
278,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_278"
285,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_285"
286,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_286"
287,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_287"
288,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_288"
289,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_289"
290,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_290"
291,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_291"
292,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_292"
293,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_293"
294,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_294"
295,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_295"
296,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_296"
297,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_297"
298,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_298"
299,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_299"
300,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_300"
301,"LowerDryCreek",0,1,0,1,1,0,"LowerDryCreek_301"
302,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_302"
303,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_303"
304,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_304"
305,"LowerDryCreek",0,1,0,1,1,0,"LowerDryCreek_305"
306,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_306"
307,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_307"
308,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_308"
309,"LowerDryCreek",2,0,1,0,2,0,"LowerDryCreek_309"
310,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_310"
311,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_311"
312,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_312"
313,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_313"
314,"LowerDryCreek",5,0,5,0,5,1,"LowerDryCreek_314"
315,"LowerDryCreek",0,1,0,0,1,0,"LowerDryCreek_315"
316,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_316"
317,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_317"
318,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_318"
325,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_325"
326,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_326"
327,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_327"
328,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_328"
329,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_329"
330,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_330"
331,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_331"
332,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_332"
333,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_333"
334,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_334"
335,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_335"
336,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_336"
337,"LowerDryCreek",0,1,0,0,1,0,"LowerDryCreek_337"
338,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_338"
339,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_339"
340,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_340"
341,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_341"
342,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_342"
343,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_343"
344,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_344"
345,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_345"
346,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_346"
347,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_347"
348,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_348"
349,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_349"
350,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_350"
351,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_351"
352,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_352"
353,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_353"
354,"LowerDryCreek",5,3,2,2,8,0,"LowerDryCreek_354"
355,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_355"
356,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_356"
357,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_357"
358,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_358"
365,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_365"
366,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_366"
367,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_367"
368,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_368"
369,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_369"
370,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_370"
371,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_371"
372,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_372"
373,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_373"
374,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_374"
375,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_375"
376,"LowerDryCreek",0,2,0,0,2,0,"LowerDryCreek_376"
377,"LowerDryCreek",0,1,0,0,1,1,"LowerDryCreek_377"
378,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_378"
379,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_379"
380,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_380"
381,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_381"
382,"LowerDryCreek",0,1,0,1,1,0,"LowerDryCreek_382"
383,"LowerDryCreek",0,1,0,1,1,1,"LowerDryCreek_383"
384,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_384"
385,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_385"
386,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_386"
387,"LowerDryCreek",1,0,0,0,1,1,"LowerDryCreek_387"
388,"LowerDryCreek",1,0,0,0,1,0,"LowerDryCreek_388"
389,"LowerDryCreek",1,0,1,0,1,0,"LowerDryCreek_389"
390,"LowerDryCreek",2,0,2,0,2,0,"LowerDryCreek_390"
391,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_391"
392,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_392"
393,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_393"
394,"LowerDryCreek",5,0,5,0,5,0,"LowerDryCreek_394"
395,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_395"
396,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_396"
397,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_397"
398,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_398"
405,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_405"
406,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_406"
407,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_407"
408,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_408"
409,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_409"
410,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_410"
411,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_411"
412,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_412"
413,"LowerDryCreek",0,0,0,0,0,1,"LowerDryCreek_413"
414,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_414"
415,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_415"
416,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_416"
417,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_417"
418,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_418"
419,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_419"
420,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_420"
421,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_421"
422,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_422"
423,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_423"
424,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_424"
425,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_425"
426,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_426"
427,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_427"
428,"LowerDryCreek",1,0,0,0,1,0,"LowerDryCreek_428"
429,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_429"
430,"LowerDryCreek",4,1,4,0,5,1,"LowerDryCreek_430"
431,"LowerDryCreek",9,0,9,0,9,0,"LowerDryCreek_431"
432,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_432"
433,"LowerDryCreek",8,0,8,0,8,0,"LowerDryCreek_433"
434,"LowerDryCreek",24,0,5,0,24,1,"LowerDryCreek_434"
435,"LowerDryCreek",21,0,0,0,21,0,"LowerDryCreek_435"
436,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_436"
437,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_437"
438,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_438"
445,"LowerDryCreek",0,3,0,0,3,1,"LowerDryCreek_445"
446,"LowerDryCreek",0,1,0,0,1,0,"LowerDryCreek_446"
447,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_447"
448,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_448"
449,"LowerDryCreek",0,1,0,0,1,0,"LowerDryCreek_449"
450,"LowerDryCreek",0,0,0,0,0,1,"LowerDryCreek_450"
451,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_451"
452,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_452"
453,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_453"
454,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_454"
455,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_455"
456,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_456"
457,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_457"
458,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_458"
459,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_459"
460,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_460"
461,"LowerDryCreek",2,0,2,0,2,1,"LowerDryCreek_461"
462,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_462"
463,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_463"
464,"LowerDryCreek",1,0,0,0,1,0,"LowerDryCreek_464"
465,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_465"
466,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_466"
467,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_467"
468,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_468"
469,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_469"
470,"LowerDryCreek",5,0,4,0,5,0,"LowerDryCreek_470"
471,"LowerDryCreek",1,0,1,0,1,0,"LowerDryCreek_471"
472,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_472"
473,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_473"
474,"LowerDryCreek",2,2,1,0,4,0,"LowerDryCreek_474"
475,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_475"
476,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_476"
477,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_477"
478,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_478"
485,"LowerDryCreek",0,4,0,0,4,0,"LowerDryCreek_485"
486,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_486"
487,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_487"
488,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_488"
489,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_489"
490,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_490"
491,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_491"
492,"LowerDryCreek",3,0,3,0,3,0,"LowerDryCreek_492"
493,"LowerDryCreek",2,1,2,0,3,0,"LowerDryCreek_493"
494,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_494"
495,"LowerDryCreek",1,1,1,0,2,1,"LowerDryCreek_495"
496,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_496"
497,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_497"
498,"LowerDryCreek",0,1,0,0,1,1,"LowerDryCreek_498"
499,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_499"
500,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_500"
501,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_501"
502,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_502"
503,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_503"
504,"LowerDryCreek",8,0,4,0,8,1,"LowerDryCreek_504"
505,"LowerDryCreek",2,0,2,0,2,0,"LowerDryCreek_505"
506,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_506"
507,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_507"
508,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_508"
509,"LowerDryCreek",6,0,6,0,6,0,"LowerDryCreek_509"
510,"LowerDryCreek",1,0,1,0,1,0,"LowerDryCreek_510"
511,"LowerDryCreek",1,0,1,0,1,0,"LowerDryCreek_511"
512,"LowerDryCreek",16,5,2,0,21,1,"LowerDryCreek_512"
513,"LowerDryCreek",3,1,2,0,4,0,"LowerDryCreek_513"
514,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_514"
515,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_515"
516,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_516"
517,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_517"
518,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_518"
525,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_525"
526,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_526"
527,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_527"
528,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_528"
529,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_529"
530,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_530"
531,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_531"
532,"LowerDryCreek",2,0,2,0,2,1,"LowerDryCreek_532"
533,"LowerDryCreek",6,1,6,0,7,0,"LowerDryCreek_533"
534,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_534"
535,"LowerDryCreek",1,0,1,0,1,0,"LowerDryCreek_535"
536,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_536"
537,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_537"
538,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_538"
539,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_539"
540,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_540"
541,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_541"
542,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_542"
543,"LowerDryCreek",1,0,0,0,1,0,"LowerDryCreek_543"
544,"LowerDryCreek",4,0,1,0,4,0,"LowerDryCreek_544"
545,"LowerDryCreek",1,0,1,0,1,0,"LowerDryCreek_545"
546,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_546"
547,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_547"
548,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_548"
549,"LowerDryCreek",3,0,2,0,3,1,"LowerDryCreek_549"
550,"LowerDryCreek",1,0,1,0,1,0,"LowerDryCreek_550"
551,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_551"
552,"LowerDryCreek",0,2,0,0,2,0,"LowerDryCreek_552"
553,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_553"
554,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_554"
555,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_555"
556,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_556"
557,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_557"
558,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_558"
565,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_565"
566,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_566"
567,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_567"
568,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_568"
569,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_569"
570,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_570"
571,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_571"
572,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_572"
573,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_573"
574,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_574"
575,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_575"
576,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_576"
577,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_577"
578,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_578"
579,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_579"
580,"LowerDryCreek",3,0,3,0,3,1,"LowerDryCreek_580"
581,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_581"
582,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_582"
583,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_583"
584,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_584"
585,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_585"
586,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_586"
587,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_587"
588,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_588"
589,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_589"
590,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_590"
591,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_591"
592,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_592"
593,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_593"
594,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_594"
595,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_595"
596,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_596"
597,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_597"
598,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_598"
605,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_605"
606,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_606"
607,"LowerDryCreek",0,1,0,0,1,1,"LowerDryCreek_607"
608,"LowerDryCreek",7,0,7,0,7,0,"LowerDryCreek_608"
609,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_609"
610,"LowerDryCreek",1,0,1,0,1,0,"LowerDryCreek_610"
611,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_611"
612,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_612"
613,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_613"
614,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_614"
615,"LowerDryCreek",2,0,2,0,2,0,"LowerDryCreek_615"
616,"LowerDryCreek",0,1,0,0,1,0,"LowerDryCreek_616"
617,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_617"
618,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_618"
619,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_619"
620,"LowerDryCreek",3,0,3,0,3,0,"LowerDryCreek_620"
621,"LowerDryCreek",1,0,1,0,1,0,"LowerDryCreek_621"
622,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_622"
623,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_623"
624,"LowerDryCreek",0,1,0,0,1,0,"LowerDryCreek_624"
625,"LowerDryCreek",2,0,2,0,2,1,"LowerDryCreek_625"
626,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_626"
627,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_627"
628,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_628"
629,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_629"
630,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_630"
631,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_631"
632,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_632"
633,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_633"
634,"LowerDryCreek",0,1,0,1,1,0,"LowerDryCreek_634"
635,"LowerDryCreek",1,1,1,0,2,1,"LowerDryCreek_635"
636,"LowerDryCreek",1,0,1,0,1,0,"LowerDryCreek_636"
637,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_637"
638,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_638"
645,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_645"
646,"LowerDryCreek",0,1,0,0,1,0,"LowerDryCreek_646"
647,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_647"
648,"LowerDryCreek",3,1,3,0,4,0,"LowerDryCreek_648"
649,"LowerDryCreek",1,3,1,0,4,0,"LowerDryCreek_649"
650,"LowerDryCreek",14,1,9,0,15,1,"LowerDryCreek_650"
651,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_651"
652,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_652"
653,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_653"
654,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_654"
655,"LowerDryCreek",1,2,1,0,3,0,"LowerDryCreek_655"
656,"LowerDryCreek",0,3,0,0,3,1,"LowerDryCreek_656"
657,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_657"
658,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_658"
659,"LowerDryCreek",1,0,1,0,1,0,"LowerDryCreek_659"
660,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_660"
661,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_661"
662,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_662"
663,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_663"
664,"LowerDryCreek",1,0,1,0,1,0,"LowerDryCreek_664"
665,"LowerDryCreek",5,0,5,0,5,0,"LowerDryCreek_665"
666,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_666"
667,"LowerDryCreek",2,0,2,0,2,0,"LowerDryCreek_667"
668,"LowerDryCreek",4,3,2,0,7,1,"LowerDryCreek_668"
669,"LowerDryCreek",2,1,2,0,3,0,"LowerDryCreek_669"
670,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_670"
671,"LowerDryCreek",0,0,0,0,0,1,"LowerDryCreek_671"
672,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_672"
673,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_673"
674,"LowerDryCreek",1,2,1,0,3,0,"LowerDryCreek_674"
675,"LowerDryCreek",2,0,2,0,2,0,"LowerDryCreek_675"
676,"LowerDryCreek",4,0,4,0,4,0,"LowerDryCreek_676"
677,"LowerDryCreek",0,1,0,0,1,0,"LowerDryCreek_677"
678,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_678"
685,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_685"
686,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_686"
687,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_687"
688,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_688"
689,"LowerDryCreek",10,0,10,0,10,0,"LowerDryCreek_689"
690,"LowerDryCreek",10,3,10,0,13,0,"LowerDryCreek_690"
691,"LowerDryCreek",1,0,1,0,1,0,"LowerDryCreek_691"
692,"LowerDryCreek",0,3,0,0,3,0,"LowerDryCreek_692"
693,"LowerDryCreek",3,0,3,0,3,0,"LowerDryCreek_693"
694,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_694"
695,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_695"
696,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_696"
697,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_697"
698,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_698"
699,"LowerDryCreek",4,3,4,0,7,1,"LowerDryCreek_699"
700,"LowerDryCreek",2,0,2,0,2,0,"LowerDryCreek_700"
701,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_701"
702,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_702"
703,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_703"
704,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_704"
705,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_705"
706,"LowerDryCreek",1,1,1,0,2,0,"LowerDryCreek_706"
707,"LowerDryCreek",1,0,1,0,1,0,"LowerDryCreek_707"
708,"LowerDryCreek",1,2,1,0,3,0,"LowerDryCreek_708"
709,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_709"
710,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_710"
711,"LowerDryCreek",0,0,0,0,0,0,"LowerDryCreek_711"
